MONTHS,Sales,Interest,Rent,Bad Debts Recovered,Miscellaneous
Apr,,,,,
May,,,,,
Jun,,,,,
Jul,,,,,
Aug,,,,,
Sep,,,,,
Oct,,,,,
Nov,,,,,
Dec,,,,,
Jan,,,,,
Feb,,,,,
Mar,,,,,
