MONTHS,Purchase,Electricity,Telecom,Rent,Interest,Depreciation,Salary,Wages,Maintenance,Tax,Travelling,Advertisement,Inventory Costs,Insurance,Miscellaneous
Apr,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,
Jun,,,,,,,,,,,,,,,
Jul,,,,,,,,,,,,,,,
Aug,,,,,,,,,,,,,,,
Sep,,,,,,,,,,,,,,,
Oct,,,,,,,,,,,,,,,
Nov,,,,,,,,,,,,,,,
Dec,,,,,,,,,,,,,,,
Jan,,,,,,,,,,,,,,,
Feb,,,,,,,,,,,,,,,
Mar,,,,,,,,,,,,,,,
